title,ingredients,cuisine,cook_time,difficulty,description,instructions,image_url,servings,tags
Spaghetti Carbonara,"spaghetti pasta, eggs, bacon, parmesan cheese, black pepper, garlic",Italian,20 minutes,medium,Classic Italian pasta dish with creamy egg sauce,Cook pasta al dente. Mix eggs with cheese. Combine with hot pasta and crispy bacon.,https://example.com/carbonara.jpg,4,pasta italian comfort-food
Vegan Buddha Bowl,"quinoa, chickpeas, avocado, spinach, cherry tomatoes, tahini, lemon juice",Other,45 minutes,easy,Nutritious plant-based bowl packed with protein and vegetables,Cook quinoa. Roast chickpeas. Assemble bowl with fresh vegetables and tahini dressing.,https://example.com/buddha-bowl.jpg,2,vegan gluten-free healthy
Chicken Tikka Masala,"chicken breast, tomatoes, heavy cream, onions, garlic, ginger, garam masala, turmeric, cumin",Indian,1 hour 30 minutes,hard,Creamy and aromatic Indian curry with tender chicken,Marinate chicken in spices. Cook in tomato-cream sauce until tender.,https://example.com/tikka-masala.jpg,6,indian curry spicy
Quick Vegetable Stir Fry,"broccoli, bell peppers, carrots, snap peas, soy sauce, garlic, ginger, sesame oil",Chinese,15 minutes,easy,Fast and healthy vegetable dish perfect for weeknight dinners,Heat oil in wok. Stir fry vegetables until crisp-tender. Add sauce.,https://example.com/stir-fry.jpg,3,vegetarian quick asian
Margherita Pizza,"pizza dough, tomato sauce, fresh mozzarella, basil leaves, olive oil, salt",Italian,25 minutes,medium,Classic Italian pizza with simple fresh ingredients,Roll out dough. Add sauce and cheese. Bake until golden. Top with fresh basil.,https://example.com/margherita.jpg,4,italian pizza vegetarian
Thai Green Curry,"coconut milk, green curry paste, chicken thigh, thai eggplant, bamboo shoots, fish sauce, palm sugar, thai basil",Thai,40 minutes,medium,Fragrant and spicy Thai curry with coconut milk,Simmer curry paste in coconut milk. Add chicken and vegetables. Season to taste.,https://example.com/green-curry.jpg,4,thai curry spicy
Keto Avocado Salad,"avocado, mixed greens, cherry tomatoes, cucumber, feta cheese, olive oil, lemon juice",Other,10 minutes,easy,Low-carb salad perfect for ketogenic diet,Chop vegetables. Combine with dressing. Top with crumbled feta.,https://example.com/keto-salad.jpg,2,keto low-carb gluten-free vegetarian
Beef Bourguignon,"beef chuck roast, red wine, carrots, onions, mushrooms, bacon, thyme, bay leaves, flour",French,3 hours,hard,Classic French braised beef dish with rich wine sauce,Brown beef and vegetables. Braise slowly in wine until tender.,https://example.com/bourguignon.jpg,8,french comfort-food wine
Gluten-Free Pancakes,"gluten-free flour, eggs, milk, baking powder, sugar, vanilla extract, butter",American,20 minutes,easy,Fluffy pancakes safe for gluten-sensitive diets,Mix dry ingredients. Combine with wet ingredients. Cook on griddle until golden.,https://example.com/gf-pancakes.jpg,4,gluten-free breakfast american
Mediterranean Quinoa Salad,"quinoa, cucumber, tomatoes, red onion, olives, feta cheese, olive oil, lemon juice, oregano",Mediterranean,25 minutes,easy,Fresh and healthy salad with Mediterranean flavors,Cook quinoa. Chop vegetables. Toss with dressing and herbs.,https://example.com/quinoa-salad.jpg,6,mediterranean vegetarian gluten-free healthy
